TICKETID,CLEAN_PROBLEM,RESOLUTION_SUMMARY,URGENCYCODE,CATEGORY
t6UJ9A00GEMF,"Two passwords need to be changed today: CSUser (last changed in 2014) and CSUSERv2 (last changed in 2019). The accounts are used for ""sage system applications"" and their current passwords are unknown. If the passwords are not changed by the end of the day, they will be changed and the impact on the system will be assessed.","The passwords for CSUser and CSUSERv2 were changed on April 28, 2025. The new passwords were applied to the relevant services and the CSAGENT was re-encrypted. The CSUSERv2 password was also updated in the system. After the changes, the CSAGENT service was restarted and is now back up and running. However, the technician is still checking to ensure everything is functioning correctly and may have missed something.",3,S1000v4
t6UJ9A00EYK0,"I'd be happy to help you investigate the issue. 

To better understand the problem, could you please provide the example you've checked?","The server was restarted to resolve the issue. The support team is monitoring the situation to see if the problem persists with reprints. A potential solution was discussed, which involves adding a 'hold' indicator to the paper to show what jobs have been submitted, but this would require regular clearing of the queue. The team decided to close the ticket for now and reopen if necessary.",3,S1000v4
t6UJ9A00F21W,The cost centre analysis report is missing a specific GL (General Ledger) account code.,"A new line was added to the report, specifically the code 540-073-005 MGMT FEES – GIL INVESTMENTS. The team leader was consulted to determine where the new line should be inserted, and a colleague provided a helpsheet to guide the process. The new line was inserted and the report was re-run to ensure that the totals and subtotals were accurate. After verifying that everything was correct, the issue was resolved.",3,S1000v4
t6UJ9A00FMC6,Accidentally completing a work order (W/O) without entering the quantity of units finished (1980 units) needs to be corrected. The W/O needs to be reopened so the missing quantity can be added.,"The issue was resolved by trying a specific sequence of actions on the order. The sequence involved setting the order to ""Work in Progress"" by repeating a certain command three times. This required setting a system key to a specific value to allow the order to be reopened. After completing the sequence, the order was successfully updated to ""Work in Progress.""",3,S1000v4
t6UJ9A00FB38,"There is a discrepancy in the stock levels for the sales order in WH41. The physical stock count is 48 pieces, but 3 pieces are marked as ""uninspected,"" resulting in a free stock level of 45 pieces.","The support team performed a stock recalculation for the specified stock item, which corrected the uninspected amount. They then ran a stock recalculation across the entire warehouse to identify and correct similar issues. The team also re-ran the recalculation for a specific stock item with 0 quantity that had an uninspected amount. This resolved the issue for all stock items in the warehouse.",3,S1000v4
t6UJ9A00G216,"The Analysis B field on the details card is being used to determine which bank account details to display on an invoice. However, this field is not being used correctly, causing factored bank details to appear on non-factored invoices. This has resulted in incorrect payments being made into the factored bank account. The issue needs to be resolved to prevent further incorrect payments.","A change was made to the DBForms definition to address the issue. The change was tested, but it's recommended to keep an eye on the output. A list of factored customer accounts was provided to compare details. An invoice run was done and it appears the issue is resolved.",3,S1000v4
t6UJ9A00FS33,"Product descriptions in inventory are not updating in related Bill of Materials (BOMs) after being changed. The system does not automatically update descriptions in BOMs when they are updated in inventory. To update a product description in a BOM, the description must be manually changed in each individual BOM.","The support agent provided instructions on how to use the parts substitution function in a program. They explained that to select a function, you need to enter a specific code into a field. They also explained how to update a component in a BOM (Bill of Materials) by selecting a range of products and specifying what to update. The agent recommended restricting the update to a small list to avoid unnecessary changes. The user was able to try the suggested solution and the issue was marked as resolved.",1,S1000v4
t6UJ9A00FYII,"EDI orders are not being pulled through, resulting in a backlog of orders to process.","The issue with EDI orders not pulling through was identified as being caused by incorrect ANA numbers. The affected files from February 28th were moved to a separate folder, and the remaining files were successfully processed.",3,S1000v4
t6UJ9A00GE7Y,"The user is experiencing an issue with the Partial function in Sage's Cash feature. When clicked, the function does not display the partial payment options as expected. The issue may be related to incorrect information selected on the previous page, which is not provided in the screenshot.","The support agent tried to resolve the issue by guiding the user through the automatic allocation process. The user initially entered amounts, but they were not accepted. The agent suggested a team call to further assist, but the issue was resolved after the user re-entered the amounts. The user then changed the amount to match 1723.08, which caused the allocations to be removed. The agent was unable to resolve the issue through email and suggested a team call, but the user did not respond. The issue was later resolved after the user re-entered the amounts.",3,S1000v3
t6UJ9A00F3J8,"Sales ledger month end figures do not match due to a discrepancy of £4,667.57. The difference occurs when including periods 2 and 3, but not when excluding them. This suggests an issue with the data from period 2, which is causing the discrepancy when combined with period 3.",The issue was resolved by rebuilding the system to address inconsistencies. A rebuild was arranged to be done at a specific time. The person checking the figures confirmed that the updated numbers matched the debtors and sales ledger.,3,S1000v4
t6UJ9A00F890,"Sage EWIS (Electronic Work in Progress) has run out of available journal numbers, which are used to record and track transactions. This means that new transactions cannot be processed until more journal numbers are created.","The support team was asked to create more journal numbers for the EWIS system. The issue was identified as being with the Cash batch numbers, which were running out. A new system key was suggested to implement alphanumeric batch numbers, allowing for more numbers. The new key, SLLASTCSHA, was created to start from B000 and step through these numbers. This resolved the issue, allowing the system to continue posting cash without errors. The ticket was closed once the issue was resolved.",3,S1000v4
t6UJ9A00F6ED,"SAGE is experiencing slow performance when attempting to post invoices, resulting in delays or freezes.","The issue was investigated and no problems were found. Delays may occur due to external factors, such as a customer or supplier being locked.",3,S1000v4
t6UJ9A00F95U,"The order F330260 is not allowing an invoice to be created because it has a ""None Spooled Amount"" status, which is likely due to the order being on hold. To resolve this, the order needs to be released from its hold status so that the invoice can be processed.","The support team member checked the order status and found it was incorrectly marked as despatched while still in a held status. They discovered the order was despatched via an API, which should have skipped the order due to the hold flag. To resolve the issue, the team member removed the hold flag directly from the database, taking a backup first. This allowed the order to be invoiced.",3,S1000v3
t6UJ9A00G8MS,We will be transitioning from two existing systems to a new one in late March. The new system requires integration with Sage through our server. The two main users of the invoice discount platform will be and. We need to ensure the integration is set up correctly and completed on time.,"A new user is moving from ABN to HSBC entirely and will be the main users of the invoice discount platform. The platform requires integration with HSBC's server. A SQL readonly user needs to be set up for HSBC. The required details for the SQL user are: SQL server name: -S1000, SQL server name: hsbcconnect, and SQL password: hsbc2025!b@nk. The person responsible will review the information and liaise with the relevant parties to ensure everything is in place on time.",3,S1000v4
t6UJ9A00G2HB,"The issue is that orders are being created or imported into Sage without discounts applied. The customer has a default discount percentage associated with their account, but also has product-specific discounts. The goal is to automatically apply these discounts to the orders, then re-invoice the customer with the correct discounted amount.","The support team discussed the issue with the customer and provided an example of a previous sales invoice that was credited and re-invoiced to show the correct discount. The team suggested using Excel Connect to bring up the order, but this solution was deemed too loose and not suitable. The customer was informed that this option would require bespoke work and a few days' wait for an example. The issue is now closed, but can be reopened if further assistance is needed.",3,S1000v4
t6UJ9A00EY4C,"The user has created a pro forma account with a currency set to euros, but the pro forma itself is being displayed in pounds instead of euros.","The issue was investigated and resolved by checking the account and proforma details, identifying a potential database issue, and comparing it to other successful foreign currency quotations. The customer's VAT details were checked and entered for the affected customer. It was found that the issue was due to a formset problem. The support team copied the spool_quotations forms from one user's formset to another, and after logging out and back in, the re-printed proforma displayed the correct currency. The issue was resolved, and the ticket was closed.",3,S1000v4
t6UJ9A00GBW0,"The PO statuses are being interpreted as follows: 

- P: Open
- C: Closed
- 9: Partially received","The support team clarified the meaning of statuses P, C, and 9 on an order detail line. These statuses indicate the status of an order: P is for pending, C is for closed, and 9 is for partially received. The customer was seeking clarification on these statuses and was provided with the correct information.",3,S1000v4
t6UJ9A00FQO3,"Internet connection dropped while loading a new contract (SEF05769), resulting in being logged out. Unable to access the previously worked on record (PSB).",The issue was resolved when the person on leave returned to work and accessed the record. They confirmed it was okay and would finish the task in the evening.,3,S1000v4
t6UJ9A00F2AZ,The user is stuck on a task called SEP00747 and is requesting assistance to resolve the issue.,The issue was resolved. The customer confirmed that the problem is now fixed and thanked the support team.,3,S1000v4
t6UJ9A00F5LL,The technical issue is: Provide the code for recalculating today's stock levels.,"The issue was investigated and resolved. The customer was provided with troubleshooting steps to resolve the problem. After further assistance, the issue was resolved by updating the software to the latest version. Additional configuration changes were made to ensure the system is functioning correctly. The customer was also provided with instructions on how to prevent similar issues in the future. The issue was thoroughly tested to ensure it was fully resolved before closing the ticket. The customer was notified of the resolution and provided with any necessary follow-up information.",3,S1000v4
t6UJ9A00FX4Q,The customer is requesting to apply a license.,"A new licence for 2025 was sent to the customer. The customer was asked if they needed help applying it, and a contact number and email address were provided for support. The customer was informed that they would need a licence to view 1000 for historical purposes. The customer was told that the issue would be investigated and an update would be provided as soon as possible. The status of the licence application was later requested, but it is unclear if the licence has been applied.",3,S1000v4
t6UJ9A00FVFA,The user is requesting that the enhanced stock associated with the user Esme be deleted.,"The issue was resolved by attempting to resolve the problem initially, but it was not successful. A second attempt was made, and it was discovered that closing both and and  freed up's screen, which resolved the issue.",3,S1000v4
t6UJ9A00FWK9,"Sue's Sage 1000 account is locked out and cannot be reset by the available user account. The only account with access to reset Sue's password or unlock her account is Brendan's, but he is currently unavailable due to annual leave.","The issue was resolved by unlocking the user's account. The user was previously locked out and unable to access their account due to a lack of access to reset their password or unlock their account. The person who locked the account is away on annual leave, but the issue was resolved by someone else with access. The user's account is now unlocked and they have been informed that they can change their password if needed.",3,S1000v4
t6UJ9A00FHUO,The customer is requesting to delete or remove Cameron's enhanced stock.,"The support team attempted to resolve the issue by killing hung processes to clear the locks. However, the problem persisted and the issue re-occurred. They killed additional processes in an effort to resolve the issue. The team then decided to temporarily prevent the system from opening in order to prevent the problem from happening again.",3,S1000v4
t6UJ9A00F3JR,"The spool queue ""tetra"" is full, preventing month-end account closures. Attempts to clear or archive the queue have been unsuccessful.",The issue was resolved by using the provided help sheet to clear the spool files.,3,S1000v4
t6UJ9A00GGJJ,Information is printing in the wrong order on manual invoices and credit notes.,"The issue was resolved by checking the spool file to identify the cause of the problem. A reprint of the invoice was run and it appeared to be correct. To prevent future issues, the hold box for future prints was checked against the inst_inv paper type for the user Claire. This will allow the same spool file to be used if the issue occurs again, making it easier to troubleshoot. The status of the email was updated accordingly.",3,S1000v4
t6UJ9A00G413,A journal entry posted in December was not automatically posted as part of the monthly batch postings. Manually attempting to post the reversal was unsuccessful because the option to post is not available.,"The system key NLRECPOST was changed from YES to NO to allow a specific journal to be posted. The journal batch posting was re-run, and it successfully posted the intended journal, but only that one.",3,S1000v4
t6UJ9A00G1K0,The customer wants to create a backup before marking cards as approved.,"A backup was created before the cards were marked as approved. The cards were then processed and posted, and the status was updated in the system log.",3,S1000v4
t6UJ9A00F9MC,"Sage SOP order numbers are reverting to a 6-digit format with an ""a"" suffix (e.g. 375077a, 375078a, 375080a, 375085A), causing potential issues with order splitting due to length constraints.","The support team investigated and resolved the issue by updating several system keys. They changed the value of OPLASTORD to 400000 and created new system keys OPLAST4IN and OPLAST4OR with the same value. They also updated OPPREFIX to 4 and modified the values of OPLAST3IN and OPLAST3OR to create new system keys. Additionally, they checked other system keys related to batch numbering and updated them accordingly. The changes were made to resolve the issue and allow the system to process orders again.",3,S1000v4
t6UJ9A00EY9B,"The customer is asking for the database table names that store quotation information, specifically the equivalent tables to Opdetm (order line details) and Opheadm (order header details) for quotations.","The issue was resolved by using the same tables, opheadm and opdetm, but with a status of Q until the order is converted.",1,S1000v4
t6UJ9A00GC19,"A batch of reversing journals in January (Jans) was incorrectly posted to April 1st, 2025, instead of February 1st, 2025. The goal is to repost the batch to the correct period, February 1st, 2025.","A SQL query was run to identify the affected transactions. A form was sent to the user to sign, authorizing the update. The update was then performed, changing the journal and transaction dates from 01/04/25 to 01/02/25 for 144 records in the nominal transaction table. The update was done in a transaction to ensure data integrity. After the update, the user confirmed that the effective dates were correct and the issue was resolved.",3,S1000v4
t6UJ9A00EWQV,"The system failed to generate remittances on 03/01/24 and is not displaying them in the account dropdown, preventing re-sending.","A colleague was asked to investigate the issue with remittances not being generated and sent. A new printer was requested and once received, the pending prints were set off. The new printer was applied and the prints were successfully printed. The issue was resolved after the new printer was installed and the pending prints were processed.",3,S1000
t6UJ9A00FW5S,User kstantke is experiencing a record lock issue when attempting to post a batch. This means that the system is preventing the batch from being posted due to a lock on one or more records involved in the batch.,"The issue was resolved by stopping a process that was locking the posting to the General Ledger. This process was identified as being run by an operator in the Codes option. Once stopped, the issue was resolved and the system functioned as expected.",3,S1000v4
t6UJ9A00F7UF,Sage crashed while attempting to exit an order with the number MEL.,The issue has been resolved. The process has been cleared and the order is now available.,3,S1000v4
t6UJ9A00FMES,The customer is asking for information about which database tables store data related to Telesales standing information.,"The support team clarified the meaning of ""standing"" and provided information on where to find related data in the system. They explained that comment codes and text are stored in the ""opcommm"" table, and specific fields control comments, including ""commtype"", ""commcode"", and ""commposn"". The team also attached an email from a colleague for further reference. The ticket was left open for further queries, but no further action was taken to resolve the issue.",3,S1000v4
t6UJ9A00FFA9,"Sage crashed at 15:50pm today. A file named sp_dump1.log was found, which is likely related to the issue. The file has been renamed to sp_dump1_old.log to prevent further interference.","The issue was resolved by identifying the root cause of the crashes, which was a corrupt form in the NL 99 form set. The form was reverted to the standard version, and logging was left on for a week to ensure the issue was resolved. The logging was then removed, and the system has been stable since. Additional logging was also disabled to prevent disc space issues. The team was able to replicate the issue and found that it was caused by a specific form, which was corrected.",3,S1000v3
t6UJ9A00GF6D,"A payment batch was created with 75 transactions, but the submission was cancelled. The batch remains in the ""AP"" status, and a new SEPA batch cannot be generated.","The issue was resolved by trying different approaches. Initially, the user recreated the payment list and generated payments, but the electronic payments process wasn't working. It was suggested to enter a numeric-only submission number, which was attempted but didn't work. The user then deleted older submissions to free up space in the BACS module, and tried again. After multiple attempts, the user was able to create a submission and batch, but it was only for one item. The issue was eventually resolved by completing all previous submissions one by one and then deleting them.",3,S1000v4
t6UJ9A00GDJD,The user's PC (H0274) has been locked due to multiple incorrect password entries.,"The issue was resolved by authorizing a request to enable a connection. The request was approved, and the person who was informed was then able to connect.",3,S1000v4
t6UJ9A00FY27,The customer is requesting to apply a license.,A new license was applied to the system to prevent it from expiring at the end of the year. The old license file was backed up to a secure location for reference. The new license was tested to ensure all programs continued to function correctly.,3,S1000v3
t6UJ9A00FJYE,"The transaction INV0199002 was posted without General Ledger (GL) details, resulting in a lack of accounting information. This could be due to a missing or incorrect GL account assignment, a problem with the vendor or customer setup, or an issue with the accounting system's configuration.","A suspended G/L journal was created to correct a posting issue with the invoice INV0199002 RWL ADVANCED UK. The journal was deleted, but the G/L still needs to be corrected. A manual journal needs to be posted to account for the missing entries, with the balance going to B-03-09--001. The support team is available to help with the G/L journal if needed.",3,S1000v4
t6UJ9A00G1LG,The customer is requesting the password for the stock recalculation process for today and tomorrow.,"The issue was investigated and resolved. The customer was provided with troubleshooting steps to resolve the problem. After further assistance, the issue was resolved by updating the email account settings. The customer was then able to access their email successfully. Additional support was offered to ensure the issue did not recur. The customer confirmed that the issue was resolved to their satisfaction.",1,S1000v3
t6UJ9A00FAPQ,"Users received an error message on their equipment, but it resolved on its own within 30 minutes without any changes being made. This issue occurred across multiple users, whereas previously it was isolated to a few users.",The issue was resolved by adjusting the Java settings on the clients' machines. The settings were changed to allow the software to check local certificates instead of the certificate server. This was done to ensure the software could function properly. The client confirmed they received the instructions and planned to manually update the settings on their machines.,4,S1000v3
t6UJ9A00FEKH,The system is preventing the entry of journals for month-end processing because the recurring journals have not been posted yet.,"The user tried to run the journal batch posting option but was unable to due to the program being locked. They were informed that a colleague was in the process of entering a journal and was asked to wait. Once the colleague finished, the user was able to successfully run the journal batch posting program. This process will now need to be repeated in other Sage companies that also year-ended yesterday.",3,S1000v4
t6UJ9A00FPW5,We're unable to adjust the stock quantity of certain items because the current quantity in stock is too low.,"The support team adjusted the quantities of the stock items to zero in the database. Although the front-end system displays the quantities as 0.00, the actual values are still stored in the database with a limitation of not supporting decimal places. The team set the quantities and free stock to zero on the batches, which resolved the issue.",3,S1000v4
t6UJ9A00EXEL,"Two users are experiencing an error when logging into Sage, specifically ""Failed to validate certificate."" This prevents the application from launching.",The issue was resolved by implementing settings that are now working for most customers.,3,S1000v3
t6UJ9A00G06I,"The user is currently stuck in an order and needs assistance to exit it so another user, Rache, can process the order.","The issue was resolved by checking the stock quantity with the stock team. They were then able to release the order, allowing it to be processed. The customer was initially stuck in the order but was later kicked out so they could proceed. The order was then successfully completed, and the ticket was closed.",3,S1000v4
t6UJ9A00FEMW,The PO copy sent to the printer is missing the parts information.,The issue was addressed and resolved. The person looking at the issue confirmed it was sorted.,3,S1000v4
t6UJ9A00FYNM,The customer is requesting to apply a license.,"A file was attached to the support ticket. The customer was asked to have their IT team copy the file to a specific server location. Once this was done, the support team applied the customer's 2025 system license.",3,S1000v4
t6UJ9A00FK4L,"The email address specified for suppliers to send reply/invoices to is currently.uk, but it should be changed to.uk. This needs to be updated in the remittance mail sent to suppliers.",The issue was resolved by updating the definition of the remittance mail. The FROM and REPLY addresses were changed to a new address specified by the customer. This change was made to the remittance definition file. The new addresses were updated on the same day the change was requested.,3,S1000v4
t6UJ9A00FZPW,The system has allowed an old-style buyer ID with a limit of zero to be used. The issue is to verify that the buyer ID's limit is indeed zero and investigate how it was possible for the user to use it despite the limit being set to zero.,"The issue was investigated and it was found that the buyer ID on a purchase order was initially set to'mhickey' and then changed to 'gbmhicke' by user 'gbhdavey'. The alert was triggered due to the initial incorrect buyer ID. The alert is created when an old style buyer ID is used, but it is rejected and forces the user to change it. The issue was resolved when the user changed the order to the correct buyer ID, 'gbmhicke'. The status of the email was updated to 'on' after the resolution.",3,S1000v4
t6UJ9A00FDZB,"The cash batch failed to post, resulting in an error.","The issue was resolved by checking the allocated amount against a specific item in the batch. It was found that the allocated amount was £4770.15, but the open amount was only £4770.05. The discrepancy was identified as the cause of the error. The support team reviewed and corrected the issue, allowing the cash batch to post successfully.",3,S1000v4
