TICKETID,ISSUE,SUBJECT,URGENCYCODE,PROBLEM,SOLUTION
t6UJ9A00GHE7,Paperless,Remittances not printed,3,Remittances not printed,"All I actually did last night was remove some jobs in the queue that should not be there as they have no Paperless definition – and then also I amended the default printer in the  setup for the remittances to one of the new printers – that was just to be sure it was not trying to connect to the A0767 printer.

The prints then were processed fine again.."
t6UJ9A00GHF5,,Reprinting invoice sage 1000,3,I am trying to print an invoice from sage 1000 but keep getting the below message. Please could you advise.,Provided help sheet for clearing the spool queue. Invoiced reprinted.
t6UJ9A00GHE8,,Issue with Sage,3,Would someone be able to kill me off from  please as I'm stuck in an order and it keeps just saying order number in use please retry.,The issue cleared itself overnight
t6UJ9A00GHE1,,Sage1000 FOXUK - invoice run incomplete with communication error from Sage,3,"Are you able to check if the batch for our FOXUK invoice run is stuck in the system somewhere please, it was ran this morning at around 6am but the user received a commination error and now the invoices are locked.

The user has been out of office since 7am this morning so I am struggling to get any further info, sorry!",Changed spool file status from 'Spooling' to 'Deferred. Reset system key OPINVLOCK. Advised to print the spool files and post the invoice batch.
t6UJ9A00GHCW,,Error with,3,"One of our Finance colleagues is having a problem when adding a new detail line to an invoice she was previously working in before her client crashed, it is now showing an error message which suggests the database cannot be written to – please see below screenshot.

There are no stuck processes on the server from her previous session as these were cleared out, so I'm not sure what else could be locking the table – if that's even what's happening?

I'm sure we've seen this issue before however cannot find any details as to the resolution, please could you help?",Advised to deletge the March invoice and re-enter with May dates.
t6UJ9A00GEHJ,,Phenol not recovered,3,"I've noticed an issue with a works order  , product LZB6148 stage 2 code 
 
Even when completing the works order correctly the tech phenol was not recovered in Sage.
 
Can you help please.",Activated auiting to track any future issues.
t6UJ9A00GGOB,Paperless,Invoice formats,1,"This doesn't quite seem to be working. When  has reprinted an invoice for the ALD017 account, it is showing the GB rather than the IE VAT number.

Could you have a look at this again?

Kind regards","changes made and tested.
no further response on this"
t6UJ9A00GHCE,,Unable to post,3,"Afternoon,

My laptop locked up so I had to re-boot and I had started entering timesheet TS215740.  I have found unposted but cannot post as being used by another user.",clear processes
t6UJ9A00GH5L,Inventory,- Purchase and Sales,3,"Please can I arrange a call for this week to discuss how we can set up service codes, G/L categories and how we can link these together  in Sage? This is required for both Purchases and Sales.","They want to create a new service code in  for Duties and then apply these for the different sales GL categories they have of MSP, CIN and AUT

Suggest the create a new service code called DUTIES for instance and give this a GL category of DUT

They will then need to create a new account code and then posting code for each of the three types

 to speak to  if they want t use A-28-01  A-27-02   for instance
Showed  how to create the new account code and then how to generate the new posting codes using range selection and range of Cost centres and one account code

Finally showed where to set uo the cost of Sales codes and they'll need to enter 

MSP   DUT
CIN      DUT
AUT     DUT"
t6UJ9A00GH78,Bill of Materials,BOM's,3,"Afternoon, ,
Hope you are well. Could you please tell me how I can export our BOMs from our system? Thanks.
Regards,",BOM data held in tables beginning with bm  bmasshm and bmassdm
t6UJ9A00GHC8,,Sage lock,3,"Hello,

I am trying to get into a ticket – 

 has created it and logged out of sage and now I cannot get into the ticket

Can you have a look and unlock whoever is stuck in there please?",No locks evident
t6UJ9A00GHC1,,,3,"Good morning all,

Please see below stuck orders can you move on please?

SP102034 DCN05 24/03/2025 24/03/2025
SP102106/1 DNI05 02/05/2025 02/05/2025
SP102107 DBN05 06/05/2025 06/05/2025
SP102109/1 DBN02 06/05/2025 06/05/2025


Best regards,",Amended status from 'K' to '6'
t6UJ9A00GHA2,,Individuals to be available in the Salesperson dropdown when setting up a new projects/vo,1,"Hello,

Could we please request that the below individuals are made available to select from the Salesperson dropdown when creating a new project/vo please – (as per the below screenshot example ):",add after approval
t6UJ9A00GFT9,,MUK - Purchase quantity variance reporting,3,", 

I have been reviewing our process regarding purchase quantity variance, and wanted to ask if a report can be made available to gather this information for  company against purchase orders? 

Please let me know what further information you require to be able to either generate a report or clarify if it is possible. 

Many thanks","Hi 

I will close this one off as it would seem to be a report we have already wriiten and if you need one re-writing it would be referred to your  anyway.

Regards"
t6UJ9A00GGYJ,,Tariffs,3,"Is there functionality within Sage that we can use to apply tariffs to our US sales?

We want to apply an additional 10% cost line to all US sales with a description of Tariff on top of existing product costs and taxes.  What is the best way to achieve this?",discussed this with  on ticket
t6UJ9A00GH9A,Reports,Annual customer turnover report,3,"Hi

Is such a report available? I see there is a reporting module but not sure how easy this would be to define (never used it!).

Thanks","Hi 

It shows all customers as shown below but only shows revenue and costs separately

You would need a report writing for you specifically to obtain this info, but it would need to be passed to your account manager to quote for the work to be carried out.

Would you like me to refer to your AM?

Hi 

Not at the moment thanks.  I’ll get hold of  if this changes.

Thanks"
t6UJ9A00GHA4,,Sage 1000 blank screen,3,"Good morning,

My screen is blank, SAGE 1000 seems to not be working, could you please help?","- 22/05/2025 08:55:04 (GMT )

,

This issue has now been resolved,   please close and sign into Sage again 


Thanks,"
t6UJ9A00GGNC,,,3,"We're looking to create a new cost centre for our overheads and need to map these to account codes that are currently active.

I know the best place to create these codes would be in the posting code generation section and range selection, however I just want to check how I can avoid creating posting codes for account codes that are no longer active after our cleanse last year?",enter multiple ranges for cost centre – cost centre and account code – account code if you want to restrict the posting codes you want to generate.
t6UJ9A00GH8M,,,3,why  aren't   pulling through the correct data,"Discussed with ,  Appears the commercial invoices are generated from a tab in  for  where they enter an order no. developed report to produce invoice.  Connected to site to check Sage and all appears to be okay there.  Passed to  to progress along with examples of issue"
t6UJ9A00GH8C,,VPN User accounts,3,"Afternoon

Can you confirm if all these accounts are still valid for your organisation please? They are SSL VPN accounts for the VPN that you use to connect to us","Hi 

I have modified the accounts below

They are 3 I have removed as they no longer work for Datel.

Regards"
t6UJ9A00GH7P,Inventory,83 z630000,3,"83 z630000

Hi 

Could someone run a stock recalc on the above please?

I am unable to allocate stock to orders.

Thanks",Stock recalc appeared ok - identified allocation on works order no AD4266/1 for a qty of 21688
t6UJ9A00GH88,,AE276398 ORDER LOCKED and need to be cleared down,3,"we have an order AE376398 was deleted and need to be cleared down to release the stock it hold. Since the order was deleted, we cannot do anything on Sage, can you advise what can we do?",logged in error
t6UJ9A00GH85,Inventory,Batch numbering on the system,3,"we currently do not use FIFO due to the cost of setting up the system, does this prevent us from having batch numbering within the system please.

If we can set batch numbering could you advise on how this could be set up.",Advised  that we are unable to maintain a batch reference if we have STLIFOFIFO blank as there are incompatibilities with STBATIINFO system key
t6UJ9A00GH3X,EDI,Batleys EDI,3,Can we ask for a call at some point for you to show us how you generate the error reports that you do to help diagnose what's the required fix?  Just a quick 10 mins should suffice,"Had a quick Teams call and showed  the EDI error log.
 now has more information to hopefully try and resolve any issues with missing stock or location lookups."
t6UJ9A00GH73,,PO issue,3,"PO has been booked in dispatch note printed but the product is wrong, needs to reverse products on dispatch note from status 6 to status 4",Advised  on uisng Pick confirmation to amend allocated qty which then generated the order line on a back order.   happy with this solution
t6UJ9A00GGOR,,Sage1000:,1,"Hi

Now that we're on the latest versions of Sage 1000, are we okay to remove the old sage client and Java from the sage application server?

Thanks,","Checked with  and confirmed Java could be removed from the , as Java is not inbuilt into the  and confirmed Automation relies on .net 1/2 rather than java."
t6UJ9A00GFXV,,/   test / check to be done on po comments,3,"Hi,

Can you look into this issue raised by  please? 


Thanks,
 


Hi 

This order is live on SAGE, but going to use this one as a test.

 process the order, as a b2b, everything appears ok with the order, if a change is needed to the order, CS go back in and make the change, the comments on the dd line can be seen by us, but when  processes the purchase order, no comments are showing in dd line.
 then has to ask CS if we want the b2b po deleting, we can try and enter comments again, but they still don't appear on 's po, we then arrange for the complete order to be deleted and reinput as a brand new order.

Example
 processed  with A4 warehouse, not b2b, so using  own stocks.
 was requested to change the order and use supplier stocks, so  would have changed the warehouse code to A1 b2b, entered comments in the dd line, but when  processes the po, no comments are seen in the dd line.

This has been going on for years, at least 10.

So there is an awful lot of disruption,  having to delete several po's,  having to put replacement orders on, the department doing same work twice .
For every order for audit purposes we need saved in order filing:-
Customer po
PDF of the order processed on SAGE
Order sent for checking and that email saying order has been checked into order filing

So the above is duplicated when we encounter the problems mentioned above.

Once this has been looked into, we will need to delete this order off SAGE etc.

Thanks","and her team have not yet run through the work around, any issues with the work around please reference this call.

Where a line has been deleted and re-entered in  were finding comments were not sent through. Working with  and  we have tried to work a work around.
Work around:
Check the line number in  the comments they need are before the affected order line they will delete the comments.
Unsure if User then needs to come out to suspend the order as  had an odd issue where loading the comment didn;t update the front end.
Go to the last line and command Sage to enter a new order line
Put * in the warehouse
Press the F3 button to launch the .
Load the comments as required.
Exit and Confirm the Order, Sage should then update the Purchase order with the required comment lines.

 asked if it was possible to get a quote for a button to get Enhancer to push through the comments again. Quote from AM required."
t6UJ9A00GH33,Reports,Report - Balance SHeet -  1000,3,"Hi

Do you know why we can not run the report for BS Ltd 

 

Thank you",Issues connecting so asked  to kill processes from previous days to release the lock for
t6UJ9A00GGWS,,It seems  has another batch of invoices which have inexplicably been set to status 10 like the ones under this ticket from last year.,3,"Afternoon , hope you're well.

It seems  has another batch of invoices which have inexplicably been set to status 10 like the ones under this ticket from last year.

 has confirmed that as far as she can see all invoices do match and so should have gone to status 88. Is it just a case of me setting the status to 88 for any records in the poinvhm table which have a status of 10, or would you prefer to look into this in more detail to see if you can discover the cause?

Many thanks and best regards,","On the DIF Server the debug.log file (c:\datel on the DIF server) seemed to show there was a variance calculated.

For  for example, it appears it calculated the line using 33.3 * 1.75 which came to 58.275, unfortunately the rounding appears to be set to 5 and caused a variance of 0.0050.

PO number used 
From debug.log
Validating GrossAmount: GrossAmount = 69.94 < Time is: 13:22:16:827
 GrossAmount: GrossAmount = 69.94 < Time is: 13:22:16:827
Validating NettAmount: GrossAmount = 69.94 NettAmount = 58.28 < Time is: 13:22:16:827
 NettAmount: GrossAmount = 69.94 NettAmount = 58.28 < Time is: 13:22:16:827
calculating line amount using, Qty: 33.3 Cost: 1.75 round by: 5 < Time is: 13:22:16:827
-------
ORDERLINE AMOUNT OF 58.28 < Time is: 13:22:16:827
LINE AMOUNT BEING INVOICED 58.275 < Time is: 13:22:16:827
PREVIOUS VARIANCE AMOUNT IS 0.0 < Time is: 13:22:16:827
VARIANCE AMOUNT IS NOW -0.0050 < Time is: 13:22:16:827
-------

(column 'status' set to '10' < Time is: 13:22:16:921

I have checked four random examples from the spreadsheet and all of these were returning variances of around 0.0050."
t6UJ9A00GH1G,BACS,,3,"im wondering if you can help me please

 we created a BGEN PL bacs payment for £.25 ( copy enclosed ) 

It seems  was paid £20232.09 in error, and this value wasn't posted to the account 

		30-94-97	20232.09	14/05/2025


I deleted two batches on Thursday 15th May – due to the bacs originally generated incorrectly – im wondering if this is the error ? and how we go about correcting it","Connected and identified that a generate payments had been ran and bacs file created but on posting the cash batch the system failed to post due to batch no already exising on supplier accounts and also allocated amounts exceeding item amounts.
Set up PLLASTCSHA so this should help going forward"
t6UJ9A00GGWX,,payment terms,3,needs to know where to find the payment terms in sage on customer accounts,Provided some screenshots and an explanation of how the credit categories are setup and work.
t6UJ9A00GGJH,Performance,Sage issue,3,"My sage keeps crashing for the past few days now, seems to be when im trying to run a report and it just crashes.
 
Thank you,","showed her desktop and there was a Sage session that would not respond.
 thinks it crashed on ""Sales order ""
Closed all programs, ensured desktop was cleared and tried to recreate the issue.
 then said she got a white screen, the screen did show a spool screen
Possible issue with Adobe PDF Reader.
It appears since the call Sage has been working fine."
t6UJ9A00GGB0,Reports,Sage -,3,"Hi,

One of our users, , is encountering problems when generating reports in Sage, namely just a blank white screen. If she moves to another tab within Sage, then clicks back to the report tab, it loads, but otherwise will just stay white.

 is also being presented with the below screenshot at times. 
 

Could you assist please?

Thanks,","Closing after no response.
It appears SRD is having an issue with a report.
If this is still occuring please let us know."
t6UJ9A00GGTA,,/ Allocation issue,3,"Good morning,

Please see below message that I have had in the cash posting / allocation screen.
 

I am unable to reach the end of this list to allocate my cash.  I believe there may be 200 pages on this account so I will need to be able to access all invoices/ credits / cash and journals on this account to be able to allocate it all and reduce the pages etc.

Thanks,","Set system key SLCASHAUTO to DATE (from ITEM)
sent details of other values it may be set to"
t6UJ9A00GH3E,EDI,Batleys EDI,3,"Morning,

Only 3 Batleys has ported across this morning, all of the attached hasn't ported through.
Please can you advise?
Thanks,","Checked and didn't see any errors.
Checked and found the attached emails already had been processed and were raised as Sales orders already."
t6UJ9A00GGTC,,Account codes,3,"Hello, 

Please can you advise if it is possible to lock account codes to only allow postings if all analysis fields are filled?

We use account code 2-04-01 which is linked to project spend however at times we use the code and colleagues do not update the analysis field, is there a way we can stop this?

Happy to discuss if easier, many thanks 

Kind regards","Advised that this is not possible for specific nominals, we can make the analysis fields mandatory but this would be system wide and not for particular nominal codes."
t6UJ9A00GH46,,Pre invoice.,3,"I don't think it is, but it is possible to amend the due dates on invoices/orders? I presume not after they have been posted, but if there a way before?

Some of our customers receive extended credit terms on occasions. But without keeping an eye on this manually as to when the invoices are actual due, SAGE obviously uses the terms set up on the customer account. Can it be overwritten for certain orders?",Advised  on  option to amend due date and also option to amend  on order entry within the order header
t6UJ9A00GGLF,Printing,Sage printer - Paper type FORMDESP,3,"Hi support,


Please could we configure Paper type FORMDESP for  to print to the same printer as ?

 user account - 


Please let me know if you have any questions.


Kind regards,","Compared users
FORMDESP on example user in , blank on user skyeh
Amended paper type to include FORMDESP for user skyeh
Then found a further amendment was needed in E:\versionone\defs\Despatch.def
Added to line 58 OF SKYEH of the case statement."
t6UJ9A00GGGA,Inventory,,3,"I need to enter a price into discounted Price, please can you allow me to do so.

We will also need to despatch this however its showing on back order please can you advise?","Discussed use of std sop order entry to apply transport as they can access the discounted price there.
Just need to check the form is okay as list price is displaying 0.01p and we are entering discount as 0 then overtyping discounted price with the transport charges
Just need to ensure the paperless is picking up the correct discounted price and not the list price 
Checked invoice form - currently have qty price then total value on the invoice so not require any amendment
 to get back if requiring any further assistance"
t6UJ9A00GH12,,,3,"Good afternoon all,

I have the below stuck orders which I need to move on for invoicing can you assist please?

SP102028 DBN05 19/03/2025 19/03/2025
SP102081/2 DNI11 16/04/2025 16/04/2025
SP102121 DCPI01 13/05/2025 13/05/2025
SP102141 DNI10 20/05/2025 20/05/2025
SP102136 DBN02 16/05/2025 16/05/2025
SP102032/2 DNI05 21/03/2025 21/03/2025
SP102086/1 DBN02 22/04/2025 22/04/2025
SP102089/1 DWB01 23/04/2025 23/04/2025
SP102092/1 DISP01 24/04/2025 24/04/2025
SP102093/1 DNI05 25/04/2025 25/04/2025

Best regards,","Order status updated to 6 from K, orders now available for invoicing"
t6UJ9A00GH1I,,,1,Can I have the Database/SQL sizing for  please.,Details sent through to
t6UJ9A00GH1D,,,1,Are we still able to add a new company in to Sage or are we no longer able to license a new company in Sage ERP 1000 since Sage ended support?,looking at options for a new company we acquired a few months ago - will not be able to request any company name changes
t6UJ9A00GH1T,,Contractors list,3,"Hi ,
I wonder could your review the latest users list for contractors for  which includes Datel staff.
I have tried to complete but my knowledge may not be up to date. Please just indicate if name is Datel, and if we need to keep them on our register. If we have left anyone off, could you add them to the list too please.
Thanks for your help,

Best regards","Hi 

I have added 3 on to the bottom in orange – the rest stay the same.
You might want to change the Employee id numbers. ????

Thanks"
t6UJ9A00GGZU,Printing,Issue with dummy printer,3,"Hello,

I've tried to print quote  twice to dummy printer but its coming up blank.

I have also then tried to convert it to an order to see if this will print and its not converted.

Can you assist please.


Many thanks","Appears to have hit an issue when converting the quote to an order as there are no detail lines in opdetm for the order no  or 
 has now generated a new order"
t6UJ9A00GH0C,,Another blockage,3,"Hi,

Please can you help with another SAGE issue?
I seem to have another blockage whilst posting a timesheet. It's just frozen.

 

Kind regards,",all ok now
t6UJ9A00GH0U,,Analysis 2 field in purchase order line screen,3,"Hi,
I am trying to locate the following field in the database but have been unable to find it, do you know which table this would be stored in? 
The screen is under distribution – purchase orders and appears the page after a product line has been entered.
 

Thanks,","Have just had a chat with  there and solved the issue, feel free to get rid of this ticket, sorry for any inconvenience."
t6UJ9A00GGZZ,,,3,"Hi

We had a blip this morning and we cannot get in sales order  but nobody is in it.

Please could you release

Many thanks",I’ve located the lock and killed the hung process and can get into the order now.
t6UJ9A00GGH6,,needed -,1,"Hi,

I have some further information on this from the customer:

Below is a snip of our current supplier data and as we have had to tidy the data in line with the bank requirements of
 1 for Address 1
Town for Address 2
Country for Address 3
Postcode for Address 4
Country should read –   (not sure what field this is called)
Remove the name in front of Address 5, Address 6 and Postcode

I would like the supplier screens to show this rather than the names being against fields that we should no longer be using.

I have attached a print of the below with the relevant changes.

Will this show on all related supplier screens if changed ?

Please advise on feasibility – changes should be made on MUK and MEL Sage system.

Thanks","pl > supplier_maintenance
 pl > supplier_enquiry  
Transactions pl > open_item_enquiry  
PO Enquiry po > po_enquiry
PO Entry po > po_entry 
  po > supplier_info"
t6UJ9A00GGZA,Performance,sage crashing,3,A number of users have had sage crashing this morning please could you check if everything is ok.,"No issues seen with apps and DB server when connected

suggest a reboot of the two servers if problem persists"
t6UJ9A00GGUU,,New VAT codes in SAGE,3,"Hi,

Please see the below. Could you please advise?

Thanks,


From:
Sent: 19 May 2025 10:18
To: 
Subject: New VAT codes in SAGE

Hi ,

Is this something for support? 

We are currently testing the process of entering invoices into Sage with the help of PL-Batch. We are experiencing issues with entering car expenses using codes 82R, 82V, 88R and 88V. These codes have VAT deduction limitations, which makes it impossible to enter them via batch processing. I would like to ask if it is possible to create 4 new codes in Sage without automatic VAT calculation, similar to code 82Z.

Thanks,","Had teams meeting with  and  and advised on creating vat codes with zero rate for 82Band 82C in preston EU and Fox belg same setup as 82Z
 to get back if having any further queries"
t6UJ9A00GFPX,,- Please release ASAP,3,"Can you please release me from Sage. Its just hung at the moment. I have 2 applications open.

Thanks","has confirmed her machine is having some VPN issues,  will investigate as VPN issues will cause Sage screens to randomly hang."
t6UJ9A00GGP3,,trial balance,3,"Got auditors in and are asking for an excel version of trial balance  this is in a certain format from last year copied to this year, needs some help",Run GL special report called TB and send in excel format
t6UJ9A00GGXC,,,3,"Hi both

Re closing/opening periods:
We have been told that we can not open the next period in SAGE in order to do postings until the current one is closed.
Is that correct?

Thanks","Had teams call with  and  and advised on 
NLPERS
PLPERS
SLPERS
keys would need to be set to CURRENT TO +1 to allow posting to next period
also advised on DA1244 Retrospective AR/AP statements to allow retrospective/effective date cut off on aged debtors and AP listings
 to speak with IT to get access to system key and discuss internally and will get back with any other queries"
t6UJ9A00GGWQ,CentralSupportingFiles,M04 IE VAT data,3,",

Please see below and attached (we have manually fixed this today).

We are having issues with a certain product having 0% VAT charged on it when invoiced under the IE VAT number. This product needs to have 23% VAT charged to it each time it is invoiced under the IE VAT number.

Is there a flag you can apply to this product that applies 23% VAT on the line when it is invoiced under the IE VAT number?

The current treatment of this product under the GB VAT number needs to remain unchanged.

Many thanks,",We have now changed the VAT code in the VAT  for the ZERO / IEVAT from Z to ESV and it appears to have fixed the issue.
t6UJ9A00GGWC,,problems,1,"Hi,

I am having some problems with my sage, whenever I print something, I am not getting an email. Can I please get some help and support and can you please set up my Sage like the others in the lab.

Thanks,",added email details for this to work.
t6UJ9A00GCLS,Paperless,,1,"Hi
 
I have been informed today that the trust will be replacing printers in Finance and the route is changing so we will need to have paperless updated.  Can you let me know what the process is so that we can ensure there is no disruption in printing from Sage (Sales invoices, cheques, remittances etc)?
 
Regards","Tested new printer setup with  for cheques as an initial test.
all fine .
agreed that  will liase with the team to arrange a date to replace the other printers whicj suits all.
will log a further ticket when this is arranged."
t6UJ9A00GGTJ,,,1,",

Can you please set up  as a Sales person in Sage?  Please use existing user NORMANK as a template?

Thanks,",add SM as requested
t6UJ9A00GGGG,,year end,3,"user trying to close adj period
logged by",Advised on Closing adj period - year end journal required posting
t6UJ9A00GGWA,Inventory,,3,Please could you kill me off in Sage please? I'm stuck twice in stock enquiry .,"Hi 

That looks like it’s all sorted now.

Thank you for your help."
t6UJ9A00GGVN,,PI1045 - STUCK,3,"Hi ,
 
I have a purchase invoice batch - PI1045 that has had invoices exported to from .
 
 
 
When I try to post this batch, it states that it has already been posted
 
 
I can't do anything with this batch stuck. Can you see what is wrong with it 
Thank you",User deleted imported POP invoice batch and then couldn't reimport so will enter manually into Sage
t6UJ9A00GGW3,,Order in use,3,"Hi

There is an order  – NHS – which is currently on credit stop – when I try to release it states order in use.  I have asked everyone in the office and no one is in  the order, are you able to release the order in use flag, so I can then release?

Thank you.

Kind regards",Killed hung process causing the lock
t6UJ9A00GGTN,,,1,"Hi,

Can you please set up  as a Sales person in TESGL Sage? 

Thanks,","this is a duplicate ticket 
please see"
t6UJ9A00GGUJ,Cashbook,,3,"Good morning,

£807.00 was paid into the c/a 02.05.25 and I am trying to match this on the bank rec, but it is not picking up SCB4FV.

It has been posted to the correct bank nominal, not sure what I am doing wrong.",Connected and identified items have been posted individually - rather then by batch so are showing in period tranactions correctly
t6UJ9A00GEV4,,1000,3,"Hello,

I have a user:  that cannot access Sage1000, it gives her an error message. 

 

I have reset her password PW and updated her device. She still gets the error message.

,","Hi ,

 can access Sage now, it looks like the issue was with our VPN Connection.

Thanks, 
 
________________________________________"
t6UJ9A00GGU7,Cashbook,Error on bank statements,3,"Hi,

 is currently trying to reconcile our banks. However we cannot get into our bank account '12' via finance-cm-tasks-statements, all others are fine. When we checked user activity via system manager nobody else was in this module. Thx",Discussed with  and identified 2 cb.exe processes running with no entry in user activity so killed these off which resolved issue
t6UJ9A00GGTU,,Sage,3,"Hi

 has frozen whilst posting an invoice to the general ledger.

Please can you help to release it?",now resolved.
t6UJ9A00GGTQ,,Sage accounts payable locked payment list 2,3,"Good morning,
 
My computed unexpectedly restarted and it's locked a SAGE payment batch list number 2. 
 
Please can unlock it?  It's called ''
 
Thank you","I logged on and closed the program for payment list which was still running on  account.
I phoned to confirm that  could now access the payment list."
t6UJ9A00GGT7,,SAGE ISSUE,3,"logged by 

.

Two users at Warrington's Own buses are having issues this morning with accessing the SAGE 1000 software.


Please could you reach out to them and support, both are CC'd into this email and can be contacted on the following numbers:


Please reply to this e-mail to respond.

Thank you,",services to fix issue
t6UJ9A00GFN8,Printing,SOA not being received,3,"I've printed a sales order ack but I'm not receiving it via email. 

I've generated a spool file and have had a look at the contents and they look ok. I've checked the ack tick box in the header too.

Is there anything else I can check?","Morning 

As of yet no, you can close this ticket and I will feedback any issues if we get any.

Thanks,"
t6UJ9A00GGSL,,,5,"Our sage is down, please look into this at your soonest.",Sage ERP Agent service was not running - restarted all 4 Sage services and checked I could log onto Sage and run a report
t6UJ9A00GGL0,,Issue placing an order through SAGE.,3,"Good afternoon

Could someone please look into an issue we have been experiencing when placing an order through SAGE.

The amounts are correct, but the attached message pops up","From last year and seems to same this year    Amended value that was circa 8 decimal places that was taking the order over the maximum value.

think issue is with table poschedm

value actioned is 47279.
changed this to 47279.52"
t6UJ9A00GGQ4,,Sage table name for where our calendars are stored,3,"Hi,

Can you let me know the sage table name for where our calendars are stored please?

Thanks",table is called  cecaldrm  ce_calendars
t6UJ9A00GGQ3,,SAGE blockage,3,"Hi,

Please can you unblock SAGE for me? I was in PO  and my PC crashed so I've reset and this is showing.

Kind regards,",killed hung sessions
t6UJ9A00GGNT,Cashbook,- outstanding balance on cash management,3,"Good morning,

I have an issue that I can't seem to figure out, I will write step by step how it came about so you can try and understand and hopefully resolve for me!

1.	884.80 received into company bank account.

 

2.	Cash was posted by  and  as accounts for this company exist on both ledgers.

3.	It was identified the cash was for , so  did a reversal posting and allocated the 2

 
 

4.	Transaction appeared in cash management with nothing to match to.

 

I'm hoping you can help me get rid of the transaction in cash management please.

Many thanks,",user correctd issue after we understood what transactions had been posted previously
t6UJ9A00GGPF,BACS,Look into format file for bank for AM,3,Look into format file for bank for AM,Look into format file for bank for AM
t6UJ9A00GGNA,Inventory,Password,3,"I need to do a stock recalc today, could you please send me todays password.","- 16/05/2025 11:37:03 (GMT )
Password provided"
t6UJ9A00GGN7,EDI,,3,"EDI isn't working, no error message just kicks us out.
Please advise","appears to have sent EDI's via their new system earlier than  expected.
 setup the customer location code and the file imported fine."
t6UJ9A00GGK9,Printing,Report with UnKnown Author printing on Printer,1,"Hi,

The attached 2 page report is printing daily on the  printer – identified below.

Can you contact the author and report to them and stop it printing again at  ?

Regards",The user that prints this job is  – copied in on this email.
